Type of Incident,Type  Location,Year of Incident,Location1,Zip Code,Update Date,Latitude,Longitude,Day of Week
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"200 E 8TH ST
DALLAS, TX 75203
(32.748726, -96.821414)",75203,1/26/2015 15:19,32.748726,-96.821414,Monday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2015,"12600 N CENTRAL EXPY
Dallas, TX 75243
(32.919924, -96.76531)",75243,5/4/2015 0:56,32.919924,-96.76531,Monday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,Outdoor Area Public/Private,2015,"1000 W MOCKINGBIRD LN
DALLAS, TX 75247
(32.815291, -96.872951)",75247,1/7/2015 0:03,32.815291,-96.872951,Wednesday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2016,"3500 S POLK ST
DALLAS, TX 75224
(32.700666, -96.840005)",75224,1/25/2016 14:24,32.700666,-96.840005,Monday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"2700 COMMUNITY DR
DALLAS, TX 75220
(32.857081, -96.874817)",75220,10/6/2014 5:35,32.857081,-96.874817,Monday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,Gas or Service Station,2014,"8702 S POLK ST
DALLAS, TX 75232
(32.643748, -96.839976)",75232,2/19/2018 16:05,32.643748,-96.839976,Monday
ACCIDENT INVOLVING INJURY,Outdoor Area Public/Private,2016,"10200 HARRY HINES BLVD
DALLAS, TX 75220
(32.861781, -96.880652)",75220,8/3/2016 14:25,32.861781,-96.880652,Wednesday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"11000 AUDELIA RD
DALLAS, TX 75243
(32.903027, -96.716804)",75243,2/20/2018 11:05,32.903027,-96.716804,Tuesday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2015,"5800 S COCKRELL HILL RD
DALLAS, TX 75236
(32.67666, -96.891338)",75236,6/26/2015 9:32,32.67666,-96.891338,Friday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"4900 S WESTMORELAND RD
DALLAS, TX 75237
(32.68372, -96.882698)",75237,2/19/2018 17:47,32.68372,-96.882698,Monday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2017,"1600 MARTIN LUTHER KING JR BLVD
DALLAS, TX 75215
(32.760735, -96.778177)",75215,8/25/2017 11:01,32.760735,-96.778177,Friday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2015,"14000 ROLLING HILLS LN
DALLAS, TX 75240
(32.935331, -96.764415)",75240,10/5/2015 6:43,32.935331,-96.764415,Monday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2016,"2400 W MOCKINGBIRD LN
DALLAS, TX 75235
(32.827054, -96.845571)",75235,1/16/2017 17:12,32.827054,-96.845571,Monday
ACCIDENT INVOLVING DEATH,"Highway, Street, Alley ETC",2014,"13600 PRESTON RD
DALLAS, TX 75240
(32.932917, -96.803543)",75240,12/22/2014 14:19,32.932917,-96.803543,Monday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2016,"2700 S BUCKNER BLVD
DALLAS, TX 75227
(32.758441, -96.682738)",75227,11/16/2016 11:45,32.758441,-96.682738,Wednesday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2015,"3500 COLONIAL AVE
DALLAS, TX 75215
(32.758066, -96.772385)",75215,11/9/2015 0:38,32.758066,-96.772385,Monday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2015,"1300 PATTERSON ST
DALLAS, TX 75202
(32.782773, -96.801725)",75202,8/14/2015 8:01,32.782773,-96.801725,Friday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2015,"4200 E OVERTON RD
DALLAS, TX 75216
(32.724493, -96.759636)",75216,11/23/2015 6:06,32.724493,-96.759636,Monday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2015,"1700 SWANSEE ST
DALLAS, TX 75232
(32.68459, -96.85045)",75232,10/20/2015 5:58,32.68459,-96.85045,Tuesday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"7100 S POLK ST
DALLAS, TX 75232
(32.662028, -96.839894)",75232,2/20/2018 9:47,32.662028,-96.839894,Tuesday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"7000 BRUTON RD
DALLAS, TX 75217
(32.748856, -96.699751)",75217,2/19/2018 9:23,32.748856,-96.699751,Monday
ACCIDENT INVOLVING INJURY,Apartment Complex/Building,2016,"740 EDGEMONT AVE
DALLAS, TX 75216
(32.729533, -96.811937)",75216,11/28/2016 2:13,32.729533,-96.811937,Monday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2015,"4600 N CENTRAL EXPY
DALLAS, TX 75206
(32.821953, -96.785653)",75206,6/9/2015 16:21,32.821953,-96.785653,Tuesday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2016,"7400 BONNIE VIEW RD
DALLAS, TX 75241
(32.656712, -96.750342)",75241,5/19/2016 6:46,32.656712,-96.750342,Thursday
ACCIDENT INVOLVING INJURY,Other,2015,"2100 DENNISON ST
DALLAS, TX 75212
(32.782178, -96.856586)",75212,12/12/2015 22:28,32.782178,-96.856586,Saturday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2018,"5700 N CENTRAL EXPY
DALLAS, TX 75206
(32.836977, -96.778005)",75206,2/20/2018 15:31,32.836977,-96.778005,Tuesday
ACCIDENT INVOLVING DEATH,"Highway, Street, Alley ETC",2016,"2100 E LEDBETTER DR
DALLAS, TX 75216
(32.686538, -96.788446)",75216,6/14/2016 17:09,32.686538,-96.788446,Tuesday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2015,"12900 GREENVILLE AVE
DALLAS, TX 75243
(32.921973, -96.740758)",75243,1/25/2015 14:11,32.921973,-96.740758,Sunday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,Restaurant/Food Service/TABC Location,2016,"14770 PRESTON RD
DALLAS, TX 75254
(32.949379, -96.803457)",75254,1/22/2016 13:04,32.949379,-96.803457,Friday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"6400 CAMPBELL RD
DALLAS, TX 75248
(32.978905, -96.798044)",75248,2/19/2018 12:16,32.978905,-96.798044,Monday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2016,"10500 SPANGLER RD
DALLAS, TX 75220
(32.86913, -96.913053)",75220,9/26/2016 9:33,32.86913,-96.913053,Monday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2015,"1300 SINGLETON BLVD
DALLAS, TX 75212
(32.778517, -96.842253)",75212,7/27/2015 0:07,32.778517,-96.842253,Monday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2015,"9800 N CENTRAL EXPY
DALLAS, TX 75231
(32.881956, -96.769734)",75231,11/30/2015 15:47,32.881956,-96.769734,Monday
ACCIDENT INVOLVING SERIOUS BODILY INJURY,"Highway, Street, Alley ETC",2015,"8100 CARBONDALE ST
DALLAS, TX 75216
(32.710838, -96.747601)",75216,6/18/2018 15:25,32.710838,-96.747601,Monday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2016,"5100 N CENTRAL EXPY
DALLAS, TX 75206
(32.828274, -96.782509)",75206,8/20/2016 18:10,32.828274,-96.782509,Saturday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2015,"8300 S LANCASTER RD
DALLAS, TX 75241
(32.646807, -96.780868)",75241,3/2/2015 17:27,32.646807,-96.780868,Monday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2016,"6300 W NORTHWEST HWY
DALLAS, TX 75231
(32.865485, -96.799239)",75231,3/27/2017 11:45,32.865485,-96.799239,Monday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"2100 E LEDBETTER DR
DALLAS, TX 75216
(32.686538, -96.788446)",75216,10/8/2014 9:33,32.686538,-96.788446,Wednesday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2015,"5100 BELT LINE RD
Dallas, TX 75254
(32.953954, -96.821401)",75254,2/20/2015 9:05,32.953954,-96.821401,Friday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2016,"3900 FRANK ST
DALLAS, TX 75210
(32.771511, -96.74981)",75210,8/20/2016 17:57,32.771511,-96.74981,Saturday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2014,"1628 S FITZHUGH AVE
DALLAS, TX 75223
(32.782497, -96.749276)",75223,11/10/2014 0:46,32.782497,-96.749276,Monday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,Parking Lot (All Others),2014,"2718 BOLL ST
DALLAS, TX 75204
(32.798026, -96.802843)",75204,2/19/2018 9:27,32.798026,-96.802843,Monday
ACCIDENT INVOLVING SERIOUS BODILY INJURY,"Highway, Street, Alley ETC",2015,"9700 WEBB CHAPEL RD
DALLAS, TX 75220
(32.865684, -96.863206)",75220,7/2/2015 18:31,32.865684,-96.863206,Thursday
ACCIDENT INVOLVING SERIOUS BODILY INJURY,"Highway, Street, Alley ETC",2016,"10200 HARRY HINES BLVD
DALLAS, TX 75220
(32.861781, -96.880652)",75220,1/24/2017 11:39,32.861781,-96.880652,Tuesday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"2103 CANADA DR
DALLAS, TX 75212
(32.792633, -96.856841)",75212,8/28/2014 23:14,32.792633,-96.856841,Thursday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,Gas or Service Station,2016,"5909 W DAVIS ST
DALLAS, TX 75211
(32.749723, -96.921548)",75211,4/14/2016 6:01,32.749723,-96.921548,Thursday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2016,"11700 N CENTRAL EXPY
DALLAS, TX 75243
(32.908161, -96.768478)",75243,4/19/2016 21:12,32.908161,-96.768478,Tuesday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2017,"18200 MARSH LN
DALLAS, TX 75287
(32.999105, -96.855522)",75287,11/27/2017 16:46,32.999105,-96.855522,Monday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,Outdoor Area Public/Private,2014,"500 S MUNGER BLVD
DALLAS, TX 75223
(32.793596, -96.758923)",75223,2/20/2018 9:01,32.793596,-96.758923,Tuesday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"1200 S BUCKNER BLVD
DALLAS, TX 75217
(32.732927, -96.682846)",75217,10/20/2014 13:24,32.732927,-96.682846,Monday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2016,"2000 N ST PAUL ST
DALLAS, TX 75201
(32.788566, -96.803059)",75201,3/28/2016 6:54,32.788566,-96.803059,Monday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,Gas or Service Station,2014,"3516 N BUCKNER BLVD
DALLAS, TX 75228
(32.804252, -96.682395)",75228,10/17/2014 14:04,32.804252,-96.682395,Friday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,Outdoor Area Public/Private,2014,"4000 N HAMPTON RD
DALLAS, TX 75212
(32.791096, -96.856386)",75212,2/19/2018 0:48,32.791096,-96.856386,Monday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2015,"10600 FOREST LN
DALLAS, TX 75243
(32.90897, -96.702206)",75243,1/1/2016 8:23,32.90897,-96.702206,Friday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,Parking Lot (All Others),2014,"10490 BROCKWOOD RD
DALLAS, TX 75238
(32.890551, -96.704878)",75238,12/31/2014 8:44,32.890551,-96.704878,Wednesday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,Motor Vehicle,2014,"5700 E MOCKINGBIRD LN
DALLAS, TX 75206
(32.836484, -96.76984)",75206,2/19/2018 3:46,32.836484,-96.76984,Monday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2016,"3900 FRANK ST
DALLAS, TX 75210
(32.771511, -96.74981)",75210,8/20/2016 17:57,32.771511,-96.74981,Saturday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,Other,2014,"9600 FOREST LN
DALLAS, TX 75243
(32.909485, -96.72489)",75243,2/20/2018 10:28,32.909485,-96.72489,Tuesday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,Other,2015,"3500 S BECKLEY AVE
DALLAS, TX 75224
(32.701912, -96.822955)",75224,1/5/2015 10:23,32.701912,-96.822955,Monday
ACCIDENTAL DEATH (NO OFFENSE),Apartment Residence,2015,"9000 VANTAGE POINT DR
DALLAS, TX 75243
(32.917632, -96.748747)",75243,12/12/2016 5:30,32.917632,-96.748747,Monday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2014,"9100 ROYAL LN
DALLAS, TX 75243
(32.893191, -96.752002)",75243,2/20/2018 2:23,32.893191,-96.752002,Tuesday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2015,"8700 S LANCASTER RD
DALLAS, TX 75241
(32.642679, -96.779393)",75241,5/26/2015 13:00,32.642679,-96.779393,Tuesday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2016,"8600 THACKERY ST
DALLAS, TX 75225
(32.866845, -96.791574)",75225,2/14/2016 21:12,32.866845,-96.791574,Sunday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"2919 HOUSLEY DR
DALLAS, TX 75228
(32.852404, -96.664737)",75228,2/20/2018 4:51,32.852404,-96.664737,Tuesday
ACCIDENTAL DEATH (NO OFFENSE),Outdoor Area Public/Private,2015,"6752 SHADY BROOK LN
DALLAS, TX 75231
(32.867911, -96.76334)",75231,12/10/2016 20:16,32.867911,-96.76334,Saturday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2015,"7900 SPRING VALLEY RD
DALLAS, TX 75254
(32.93984, -96.770451)",75254,10/26/2015 11:49,32.93984,-96.770451,Monday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"13403 KIT LN
DALLAS, TX 75240
(32.930664, -96.765324)",75240,2/19/2018 9:42,32.930664,-96.765324,Monday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"5500 ANITA ST
DALLAS, TX 75206
(32.834626, -96.773834)",75206,9/12/2014 13:58,32.834626,-96.773834,Friday
ACCIDENTAL DEATH (NO OFFENSE),Commercial Property Occupied/Vacant,2016,"10921 ESTATE LN
DALLAS, TX 75238
(32.883034, -96.696455)",75238,11/16/2016 11:53,32.883034,-96.696455,Wednesday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,Parking Lot (All Others),2014,"4343 GANNON LN
DALLAS, TX 75237
(32.656572, -96.890115)",75237,1/6/2015 17:51,32.656572,-96.890115,Tuesday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2018,"3500 GASTON AVE
DALLAS, TX 75246
(32.790567, -96.78081)",75246,1/11/2018 12:42,32.790567,-96.78081,Thursday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"11200 AUDELIA RD
DALLAS, TX 75243
(32.904019, -96.717504)",75243,2/19/2018 11:32,32.904019,-96.717504,Monday
ACCIDENT INVOLVING SERIOUS BODILY INJURY,"Highway, Street, Alley ETC",2017,"2800 MAIN ST
DALLAS, TX 75226
(32.783944, -96.783261)",75226,3/3/2017 17:17,32.783944,-96.783261,Friday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2017,"4200 WYCLIFF AVE
DALLAS, TX 75219
(32.819662, -96.804521)",75219,3/1/2017 22:58,32.819662,-96.804521,Wednesday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2017,"4600 SCYENE RD
DALLAS, TX 75210
(32.766645, -96.742816)",75210,6/28/2017 13:18,32.766645,-96.742816,Wednesday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2016,"5000 W DAVIS ST
DALLAS, TX 75211
(32.749518, -96.908803)",75211,7/11/2016 16:21,32.749518,-96.908803,Monday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2015,"4700 CEDAR SPRINGS RD
DALLAS, TX 75219
(32.818606, -96.820527)",75219,10/23/2015 8:11,32.818606,-96.820527,Friday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2017,"4418 WILDWOOD RD
DALLAS, TX 75209
(32.856031, -96.835669)",75209,5/3/2017 10:20,32.856031,-96.835669,Wednesday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,Commercial Property Occupied/Vacant,2014,"9601 LINKS FAIRWAY
ROWLETT, TX 75089
(32.948767, -96.540052)",75089,2/20/2018 3:43,32.948767,-96.540052,Tuesday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2015,"900 MORRELL AVE
DALLAS, TX 75203
(32.739142, -96.805194)",75203,12/26/2015 14:32,32.739142,-96.805194,Saturday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"10600 SPANGLER RD
DALLAS, TX 75220
(32.871999, -96.913097)",75220,9/22/2014 7:40,32.871999,-96.913097,Monday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2017,"11051 WOODMEADOW PKWY
DALLAS, TX 75228
(32.849519, -96.644689)",75228,8/17/2017 9:53,32.849519,-96.644689,Thursday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2016,"5200 BELT LINE RD
DALLAS, TX 75254
(32.953948, -96.820073)",75254,5/30/2016 9:14,32.953948,-96.820073,Monday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,Parking Lot (All Others),2015,"4527 TRAVIS ST
DALLAS, TX 75205
(32.822985, -96.790712)",75205,6/10/2015 12:36,32.822985,-96.790712,Wednesday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"3300 SOUTHER OAKS BLVD
DALLAS, TX 75216
(32.720067, -96.772568)",75216,2/19/2018 2:09,32.720067,-96.772568,Monday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,Parking Lot (All Others),2014,"13100 MONTFORT DR
DALLAS, TX 75240
(32.92721, -96.811155)",75240,2/19/2018 1:27,32.92721,-96.811155,Monday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2015,"3801 HANCOCK ST
DALLAS, TX 75210
(32.763299, -96.741514)",75210,4/21/2015 7:43,32.763299,-96.741514,Tuesday
ACCIDENT INVOLVING DEATH,"Highway, Street, Alley ETC",2017,"12500 E NORTHWEST HWY
DALLAS, TX 75228
(32.864025, -96.665603)",75228,4/25/2017 8:25,32.864025,-96.665603,Tuesday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"8000 PARK
Dallas, TX 75231
(32.871795, -96.76961)",75231,8/26/2014 14:24,32.871795,-96.76961,Tuesday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2016,"6300 SKILLMAN ST
DALLAS, TX 75231
(32.863662, -96.746802)",75231,6/16/2016 10:39,32.863662,-96.746802,Thursday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"2902 LYONS ST
DALLAS, TX 75210
(32.774863, -96.740613)",75210,2/19/2018 14:30,32.774863,-96.740613,Monday
ACCIDENT INVOLVING INJURY,Parking Lot (All Others),2016,"1055 REGAL ROW
DALLAS, TX 75247
(32.826924, -96.88703)",75247,11/27/2016 0:32,32.826924,-96.88703,Sunday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"1200 N STEMMONS FWY
DALLAS, TX 75207
(32.790325, -96.813992)",75207,9/19/2014 7:47,32.790325,-96.813992,Friday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2015,"7770 GREAT TRINITY FOREST WAY
DALLAS, TX 75217
(32.712393, -96.689098)",75217,7/31/2015 16:03,32.712393,-96.689098,Friday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"1800 S BUCKNER BLVD
DALLAS, TX 75217
(32.742681, -96.682818)",75217,8/12/2014 12:54,32.742681,-96.682818,Tuesday
ACCIDENT INVOLVING SERIOUS BODILY INJURY,"Highway, Street, Alley ETC",2015,"1500 E 8TH ST
DALLAS, TX 75203
(32.750666, -96.802984)",75203,1/17/2017 15:54,32.750666,-96.802984,Tuesday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2015,"4500 MALDEN LN
DALLAS, TX 75216
(32.690401, -96.807865)",75216,10/6/2015 2:46,32.690401,-96.807865,Tuesday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2015,"2500 MAIN ST
DALLAS, TX 75226
(32.783187, -96.787206)",75226,4/2/2015 16:48,32.783187,-96.787206,Thursday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,Parking Lot (All Others),2014,"6419 SKILLMAN
DALLAS, TX 75231
(32.864215, -96.745545)",75231,2/19/2018 3:37,32.864215,-96.745545,Monday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2015,"800 N MASTERS DR
DALLAS, TX 75217
(32.725072, -96.648323)",75217,1/6/2016 11:33,32.725072,-96.648323,Wednesday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2016,"9300 FOREST LN
DALLAS, TX 75243
(32.909054, -96.740021)",75243,3/18/2016 7:47,32.909054,-96.740021,Friday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2014,"3100 LOMBARDY LN
DALLAS, TX 75220
(32.866419, -96.873418)",75220,8/13/2014 6:31,32.866419,-96.873418,Wednesday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2015,"200 S GOOD LATIMER EXPY
DALLAS, TX 75201
(32.783118, -96.786291)",75201,11/9/2015 9:01,32.783118,-96.786291,Monday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2016,"12100 E NORTHWEST HWY
DALLAS, TX 75218
(32.8639, -96.671918)",75218,11/11/2016 0:36,32.8639,-96.671918,Friday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2016,"10500 HARRY HINES BLVD
DALLAS, TX 75220
(32.867674, -96.882073)",75220,8/11/2016 8:42,32.867674,-96.882073,Thursday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"6900 SCYENE RD
DALLAS, TX 75227
(32.763398, -96.702436)",75227,2/20/2018 12:50,32.763398,-96.702436,Tuesday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2014,"626 ELLA AVE
DALLAS, TX 75217
(32.723106, -96.714309)",75217,12/30/2014 0:46,32.723106,-96.714309,Tuesday
ACCIDENT INVOLVING INJURY,"Highway, Street, Alley ETC",2015,"3500 RAMONA AVE
DALLAS, TX 75216
(32.702456, -96.806738)",75216,2/19/2018 2:44,32.702456,-96.806738,Monday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,"Highway, Street, Alley ETC",2015,"8400 LAKE JUNE RD
DALLAS, TX 75217
(32.734139, -96.676302)",75217,9/2/2015 23:22,32.734139,-96.676302,Wednesday
FAIL TO LEAVE ID AT SCENE OF ACCIDENT DAMAGE < $200,Apartment Parking Lot,2014,"9877 BROCKBANK DR
DALLAS, TX 75220
(32.878548, -96.876673)",75220,2/19/2018 18:39,32.878548,-96.876673,Monday
